stop,stop_name,stop_lat,stop_lon,geometry
ABRANTES,ABRANTES,40.38083,-3.7279,POINT (438212.94974320335 4470281.298691018)
ACACIAS,ACACIAS,40.40387,-3.70664,POINT (440038.0386002669 4472824.081506895)
AEROPUERTO T-4,AEROPUERTO T-4,40.49177,-3.59325,POINT (449725.3543943269 4482510.214279061)
AEROPUERTO T1-T2-T3,AEROPUERTO T1-T2-T3,40.46864,-3.56954,POINT (451718.0875145042 4479929.53686119)
ALAMEDA DE OSUNA,ALAMEDA DE OSUNA,40.45779,-3.58752,POINT (450185.8364837028 4478735.175506614)
ALCORCON CENTRAL,ALCORCON CENTRAL,40.35008,-3.83178,POINT (429363.01282946556 4466945.834731674)
ALFONSO XIII,ALFONSO XIII,40.44825,-3.66791,POINT (443361.73902693315 4477724.691778072)
ALMENDRALES,ALMENDRALES,40.38409,-3.69788,POINT (440764.0435430483 4470622.61294777)
ALONSO CANO,ALONSO CANO,40.43838,-3.69925,POINT (440695.43625497236 4476649.692573414)
ALONSO DE MENDOZA,ALONSO DE MENDOZA,40.30081,-3.73664,POINT (437397.1307825855 4461405.359672914)
ALONSO MARTINEZ,ALONSO MARTINEZ,40.42853,-3.69643,POINT (440925.9874537213 4475554.454234507)
ALSACIA,ALSACIA,40.41829,-3.62351,POINT (447103.3778706546 4474371.6140864)
ALTO DE EXTREMADURA,ALTO DE EXTREMADURA,40.40993,-3.73894,POINT (437302.82060880517 4473519.151018487)
ALTO DEL ARENAL,ALTO DEL ARENAL,40.38977,-3.64522,POINT (445238.4494854115 4471219.140986627)
ALUCHE,ALUCHE,40.38563,-3.7608,POINT (435424.824565514 4470837.601341016)
ALVARADO,ALVARADO,40.45033,-3.70331,POINT (440361.6610877043 4477978.877718021)
ANTON MARTIN,ANTON MARTIN,40.41246,-3.69937,POINT (440662.4844918196 4473772.660017175)
ANTONIO MACHADO,ANTONIO MACHADO,40.47022,-3.71769,POINT (439160.22184683057 4480196.487888256)
ARGANDA DEL REY,ARGANDA DEL REY,40.30367,-3.44752,POINT (461969.51839099 4461558.5756449215)
ARGANZUELA-PLANETARIO,ARGANZUELA-PLANETARIO,40.3931,-3.68864,POINT (441556.1287481369 4471616.565123234)
ARGÜELLES,ARGÜELLES,40.43053,-3.71596,POINT (439271.1591885559 4475789.696132698)
ARROYO CULEBRO,ARROYO CULEBRO,40.28874,-3.75682,POINT (435670.68493948947 4460080.077688562)
ARROYOFRESNO,ARROYOFRESNO,40.4909,-3.72604,POINT (438471.2571082746 4482497.774816867)
ARTILLEROS,ARTILLEROS,40.40522,-3.64181,POINT (445540.3176785748 4472931.969022433)
ARTURO SORIA,ARTURO SORIA,40.45583,-3.65618,POINT (444362.6933265859 4478558.615430932)
ASCAO,ASCAO,40.43021,-3.64106,POINT (445624.0811339044 4475705.381584751)
ATOCHA,ATOCHA,40.40659,-3.68938,POINT (441505.0028511941 4473114.433930609)
AVENIDA DE AMERICA,AVENIDA DE AMERICA,40.43804,-3.67647,POINT (442627.171858124 4476596.907060865)
AVENIDA DE GUADALAJARA,AVENIDA DE GUADALAJARA,40.42239,-3.61206,POINT (448077.9180931277 4474819.920185768)
AVENIDA DE LA ILUSTRACION,AVENIDA DE LA ILUSTRACION,40.4801,-3.7184,POINT (439108.95979759423 4481293.6649186965)
AVIACION ESPAÑOLA,AVIACION ESPAÑOLA,40.38364,-3.78392,POINT (433460.467550317 4470633.853804223)
BAMBU,BAMBU,40.47682,-3.67637,POINT (442668.6277741458 4480901.432072114)
BANCO DE ESPAÑA,BANCO DE ESPAÑA,40.41922,-3.69497,POINT (441041.70316097536 4474520.071903459)
BARRIO DE LA CONCEPCION,BARRIO DE LA CONCEPCION,40.4391,-3.652,POINT (444703.40664592246 4476698.960292291)
BARRIO DEL PILAR,BARRIO DEL PILAR,40.47689,-3.70316,POINT (440397.8622860618 4480926.94901833)
BARRIO DEL PUERTO,BARRIO DEL PUERTO,40.4225,-3.56919,POINT (451714.75116693793 4474807.820749491)
BATAN,BATAN,40.40786,-3.75311,POINT (436098.5631713328 4473299.530509455)
BAUNATAL,BAUNATAL,40.55442,-3.63513,POINT (446226.3250763588 4489489.154723702)
BEGOÑA,BEGOÑA,40.48041,-3.68585,POINT (441868.1620673177 4481306.125731266)
BILBAO,BILBAO,40.42906,-3.70218,POINT (440438.71283459937 4475617.144827642)
BUENOS AIRES,BUENOS AIRES,40.39156,-3.65391,POINT (444502.3701908151 4471423.247462381)
CALLAO,CALLAO,40.42014,-3.70566,POINT (440135.6172340604 4474629.379103013)
CAMPAMENTO,CAMPAMENTO,40.39481,-3.76813,POINT (434811.5154360923 4471861.9541976)
CANAL,CANAL,40.4387,-3.70489,POINT (440217.3780035883 4476689.014599181)
CANILLAS,CANILLAS,40.46381,-3.6356,POINT (446114.0537055084 4479431.632360322)
CANILLEJAS,CANILLEJAS,40.44942,-3.60816,POINT (448429.4200538716 4477817.9551834185)
CARABANCHEL,CARABANCHEL,40.38783,-3.74487,POINT (436779.00060960464 4471070.287705254)
CARABANCHEL ALTO,CARABANCHEL ALTO,40.372,-3.75191,POINT (436166.5337573426 4469318.2297305055)
CARPETANA,CARPETANA,40.3927,-3.74099,POINT (437112.8497742211 4471608.086942258)
CARTAGENA,CARTAGENA,40.43934,-3.67215,POINT (442994.6608254209 4476738.409890654)
CASA DE CAMPO,CASA DE CAMPO,40.40321,-3.76101,POINT (435423.7972821224 4472789.124068547)
CASA DEL RELOJ,CASA DEL RELOJ,40.3266,-3.75942,POINT (435485.7180339169 4464284.343390868)
