stop1,stop2,transporte1,transporte2,mean_time_diff
ABRANTES,PAN BENDITO,metro,metro,106.5
ABRANTES,PLAZA ELIPTICA,metro,metro,123.5
ACACIAS,PIRAMIDES,metro,metro,83.0
ACACIAS,PUERTA DE TOLEDO,metro,metro,138.0
AEROPUERTO T-4,BARAJAS,metro,metro,175.0
AEROPUERTO T1-T2-T3,BARAJAS,metro,metro,118.0
AEROPUERTO T1-T2-T3,FERIA DE MADRID,metro,metro,339.0
ALAMEDA DE OSUNA,EL CAPRICHO,metro,metro,114.0
ALCORCON CENTRAL,PARQUE LISBOA,metro,metro,108.0
ALCORCON CENTRAL,PARQUE OESTE,metro,metro,144.0
ALFONSO XIII,AVENIDA DE LA PAZ,metro,metro,101.5
ALFONSO XIII,PROSPERIDAD,metro,metro,137.0
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,metro,metro,150.5
ALMENDRALES,LEGAZPI,metro,metro,146.5
ALONSO CANO,CANAL,metro,metro,61.5
ALONSO CANO,GREGORIO MARAÑON,metro,metro,81.0
ALONSO DE MENDOZA,CONSERVATORIO,metro,metro,108.0
ALONSO DE MENDOZA,GETAFE CENTRAL,metro,metro,117.0
ALONSO MARTINEZ,BILBAO,metro,metro,69.5
ALONSO MARTINEZ,CHUECA,metro,metro,107.0
ALONSO MARTINEZ,COLON,metro,metro,60.5
ALONSO MARTINEZ,GREGORIO MARAÑON,metro,metro,134.0
ALONSO MARTINEZ,RUBEN DARIO,metro,metro,109.0
ALONSO MARTINEZ,TRIBUNAL,metro,metro,66.0
ALSACIA,AVENIDA DE GUADALAJARA,metro,metro,162.0
ALSACIA,LA ALMUDENA,metro,metro,212.5
ALTO DE EXTREMADURA,LUCERO,metro,metro,131.5
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,metro,metro,144.0
ALTO DEL ARENAL,BUENOS AIRES,metro,metro,103.0
ALTO DEL ARENAL,MIGUEL HERNANDEZ,metro,metro,99.5
ALUCHE,EMPALME,metro,metro,104.0
ALUCHE,EUGENIA DE MONTIJO,metro,metro,143.0
ALVARADO,CUATRO CAMINOS,metro,metro,68.5
ALVARADO,ESTRECHO,metro,metro,84.5
ANTON MARTIN,ESTACION DEL ARTE,metro,metro,107.0
ANTON MARTIN,TIRSO DE MOLINA,metro,metro,76.5
ANTONIO MACHADO,PEÑAGRANDE,metro,metro,85.5
ANTONIO MACHADO,VALDEZARZA,metro,metro,114.5
ARGANDA DEL REY,LA POVEDA,metro,metro,245.5
ARGANZUELA-PLANETARIO,LEGAZPI,metro,metro,93.5
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,metro,metro,111.0
ARGÜELLES,MONCLOA,metro,metro,67.0
ARGÜELLES,PRINCIPE PIO,metro,metro,190.5
ARGÜELLES,SAN BERNARDO,metro,metro,130.0
ARGÜELLES,VENTURA RODRIGUEZ,metro,metro,68.5
ARROYO CULEBRO,CONSERVATORIO,metro,metro,89.0
ARROYO CULEBRO,PARQUE DE LOS ESTADOS,metro,metro,242.5
ARROYOFRESNO,LACOMA,metro,metro,91.0
ARROYOFRESNO,PITIS,metro,metro,73.0
ARTILLEROS,PAVONES,metro,metro,126.0
ARTILLEROS,VINATEROS,metro,metro,116.0
ARTURO SORIA,AVENIDA DE LA PAZ,metro,metro,121.5
ARTURO SORIA,ESPERANZA,metro,metro,134.0
ASCAO,GARCIA NOBLEJAS,metro,metro,102.0
ASCAO,PUEBLO NUEVO,metro,metro,92.5
ATOCHA,ESTACION DEL ARTE,metro,metro,48.5
ATOCHA,MENENDEZ PELAYO,metro,metro,111.0
AVENIDA DE AMERICA,CARTAGENA,metro,metro,94.5
AVENIDA DE AMERICA,CRUZ DEL RAYO,metro,metro,97.0
AVENIDA DE AMERICA,DIEGO DE LEON,metro,metro,90.5
AVENIDA DE AMERICA,GREGORIO MARAÑON,metro,metro,141.0
