stop,transporte
ABRANTES,metro
ACACIAS,metro
AEROPUERTO T-4,metro
AEROPUERTO T1-T2-T3,metro
ALAMEDA DE OSUNA,metro
ALCORCON CENTRAL,metro
ALFONSO XIII,metro
ALMENDRALES,metro
ALONSO CANO,metro
ALONSO DE MENDOZA,metro
ALONSO MARTINEZ,metro
ALSACIA,metro
ALTO DE EXTREMADURA,metro
ALTO DEL ARENAL,metro
ALUCHE,metro
ALVARADO,metro
ANTON MARTIN,metro
ANTONIO MACHADO,metro
ARGANDA DEL REY,metro
ARGANZUELA-PLANETARIO,metro
ARGÜELLES,metro
ARROYO CULEBRO,metro
ARROYOFRESNO,metro
ARTILLEROS,metro
ARTURO SORIA,metro
ASCAO,metro
ATOCHA,metro
AVENIDA DE AMERICA,metro
AVENIDA DE GUADALAJARA,metro
AVENIDA DE LA ILUSTRACION,metro
AVIACION ESPAÑOLA,metro
BAMBU,metro
BANCO DE ESPAÑA,metro
BARRIO DE LA CONCEPCION,metro
BARRIO DEL PILAR,metro
BARRIO DEL PUERTO,metro
BATAN,metro
BAUNATAL,metro
BEGOÑA,metro
BILBAO,metro
BUENOS AIRES,metro
CALLAO,metro
CAMPAMENTO,metro
CANAL,metro
CANILLAS,metro
CANILLEJAS,metro
CARABANCHEL,metro
CARABANCHEL ALTO,metro
CARPETANA,metro
CARTAGENA,metro
CASA DE CAMPO,metro
CASA DEL RELOJ,metro
CHAMARTIN,metro
CHUECA,metro
CIUDAD DE LOS ANGELES,metro
CIUDAD LINEAL,metro
CIUDAD UNIVERSITARIA,metro
COLOMBIA,metro
COLON,metro
CONCHA ESPINA,metro
CONDE DE CASAL,metro
CONGOSTO,metro
COSLADA CENTRAL,metro
CUATRO CAMINOS,metro
CUATRO VIENTOS,metro
CUZCO,metro
DELICIAS,metro
DIEGO DE LEON,metro
DUQUE DE PASTRANA,metro
EL BERCIAL,metro
EL CARMEN,metro
EL CARRASCAL,metro
EL CASAR,metro
EMBAJADORES,metro
ESTADIO METROPOLITANO,metro
ESTRECHO,metro
ESTRELLA,metro
FERIA DE MADRID,metro
FRANCOS RODRIGUEZ,metro
FUENCARRAL,metro
FUENLABRADA CENTRAL,metro
GARCIA NOBLEJAS,metro
GETAFE CENTRAL,metro
GOYA,metro
GRAN VIA,metro
GREGORIO MARAÑON,metro
GUZMAN EL BUENO,metro
HENARES,metro
HERRERA ORIA,metro
HORTALEZA,metro
HOSPITAL 12 DE OCTUBRE,metro
HOSPITAL DE FUENLABRADA,metro
HOSPITAL DE MOSTOLES,metro
HOSPITAL INFANTA SOFIA,metro
HOSPITAL SEVERO OCHOA,metro
IBIZA,metro
IGLESIA,metro
JARAMA,metro
JOAQUIN VILUMBRALES,metro
LA ALMUDENA,metro
LA ELIPA,metro
LA FORTUNA,metro
LA GAVIA,metro
LA GRANJA,metro
LA LATINA,metro
LA MORALEJA,metro
LA POVEDA,metro
LA RAMBLA,metro
LAGO,metro
LAGUNA,metro
LAS MUSAS,metro
LAS SUERTES,metro
LAS TABLAS,metro
LAVAPIES,metro
LEGANES CENTRAL,metro
LEGAZPI,metro
LORANCA,metro
MANOTERAS,metro
MANUEL BECERRA,metro
MANUEL DE FALLA,metro
MAR DE CRISTAL,metro
MARQUES DE VADILLO,metro
MENDEZ ALVARO,metro
MENENDEZ PELAYO,metro
MIGUEL HERNANDEZ,metro
MIRASIERRA,metro
MONTECARMELO,metro
MOSTOLES CENTRAL,metro
NOVICIADO,metro
NUEVA NUMANCIA,metro
NUEVOS MINISTERIOS,metro
NUÑEZ DE BALBOA,metro
ODONNELL,metro
OPAÑEL,metro
OPERA,metro
OPORTO,metro
PACIFICO,metro
PAN BENDITO,metro
PARQUE DE SANTA MARIA,metro
PARQUE LISBOA,metro
PARQUE OESTE,metro
PAVONES,metro
PLAZA DE CASTILLA,metro
PLAZA DE ESPAÑA,metro
PLAZA ELIPTICA,metro
PRINCIPE DE VERGARA,metro
PRINCIPE PIO,metro
PUEBLO NUEVO,metro
PUERTA DE ARGANDA,metro
PUERTA DEL SUR,metro
QUEVEDO,metro
RIVAS FUTURA,metro
SAN BLAS,metro
SAN CIPRIANO,metro
SAN CRISTOBAL,metro
SERRANO,metro
SEVILLA,metro
SIERRA DE GUADALUPE,metro
SOL,metro
SUANZES,metro
TETUAN,metro
VALDEBERNARDO,metro
ABRANTES,urban
ACACIAS,urban
AEROPUERTO T-4,urban
AEROPUERTO T1-T2-T3,urban
ALAMEDA DE OSUNA,urban
ALFONSO XIII,urban
ALMENDRALES,urban
ALONSO CANO,urban
ALONSO MARTINEZ,urban
ALSACIA,urban
ALTO DE EXTREMADURA,urban
ALTO DEL ARENAL,urban
ALUCHE,urban
ALVARADO,urban
ANTON MARTIN,urban
ANTONIO MACHADO,urban
ARGANZUELA-PLANETARIO,urban
ARGÜELLES,urban
ARROYOFRESNO,urban
ARTILLEROS,urban
ARTURO SORIA,urban
ASCAO,urban
ATOCHA,urban
AVENIDA DE AMERICA,urban
AVENIDA DE GUADALAJARA,urban
AVENIDA DE LA ILUSTRACION,urban
AVENIDA DE LA PAZ,urban
AVIACION ESPAÑOLA,urban
BAMBU,urban
BANCO DE ESPAÑA,urban
BARRIO DE LA CONCEPCION,urban
BARRIO DEL PILAR,urban
BATAN,urban
BEGOÑA,urban
